id,release_date,movie,production_budget,domestic_gross,worldwide_gross
19,1991-11-27,My Girl,,,
20,1987-12-11,Wall Street,,,
21,1995-12-11,Sense and Sensibility,,,
22,2006-08-18,The Illusionist,,,
23,2007-08-03,Becoming Jane,,,
24,2003-12-19,House of Sand and Fog,,,
25,2007-09-21,Sydney White,,,
26,2007-12-31,Arn - Tempelriddaren,,,
27,1989-06-02,Dead Poets Society,,,
28,1994-12-16,Dumb & Dumber,,,
29,1989-07-14,When Harry Met Sallyâ¦,,,
30,2000-05-19,Road Trip,,,
31,1982-12-08,The Verdict,,,
32,1999-01-15,Varsity Blues,,,
33,2012-05-25,Moonrise Kingdom,,,
34,2011-11-25,The Artist,,,
35,2009-01-09,The Unborn,,,
36,2002-08-02,The Master of Disguise,,,
37,2006-10-06,The Texas Chainsaw Massacre: The Beginning,,,
38,2006-12-29,El Laberinto del Fauno,,,
39,2011-02-04,The Roommate,,,
40,2007-02-02,The Messengers,,,
41,2001-03-02,See Spot Run,,,
42,1991-08-09,Double Impact,,,
43,2001-06-27,Baby Boy,,,
44,2001-04-11,Joe Dirt,,,
45,2008-09-12,The Women,,,
46,2007-04-20,Hot Fuzz,,,
47,2008-08-15,Vicky Cristina Barcelona,,,
48,2000-06-16,Boys and Girls,,,
49,2018-06-13,Superfly,,,
50,1994-11-18,LÃ©on,,,
51,2010-03-12,Remember Me,,,
52,2002-10-11,White Oleander,,,
53,2009-09-18,Jennifer's Body,,,
54,2000-03-03,Drowning Mona,,,
55,1987-01-30,Radio Days,,,
56,2003-07-18,How to Deal,,,
57,2014-10-03,Left Behind,,,
58,2004-05-28,Soul Plane,,,
59,1988-12-09,My Stepmother Is an Alien,,,
60,2012-06-29,People Like Us,,,
61,1999-05-28,The Thirteenth Floor,,,
62,2004-09-03,The Cookout,,,
63,1979-10-19,Meteor,,,
64,1986-03-07,Highlander,,,
65,2016-11-18,Bleed for This,,,
66,2002-05-03,Hollywood Ending,,,
67,2000-09-15,Duets,,,
68,1999-08-13,Detroit Rock City,,,
69,2007-10-19,Things We Lost in the Fire,,,
70,2014-11-14,The Homesman,,,
71,2013-04-05,Trance,,,
72,2014-05-16,The Immigrant,,,
73,1997-08-15,Steel,,,
74,2005-12-21,The White Countess,,,
75,2008-07-25,Bienvenue chez les Ch'tis,,,
76,2014-10-01,"Men, Women and Children",,,
77,2010-09-24,Enter the Void,,,
78,2008-12-31,Good,,,
79,2012-11-02,Vamps,,,
80,2010-05-11,Haeundae,,,
81,2010-03-09,Hachiko: A Dog's Story,,,
82,2013-12-31,Zulu,,,
83,2018-12-21,Second Act,,,
84,2002-06-21,Juwanna Mann,,,
85,2007-06-08,La MÃ´me,,,
86,2002-11-15,Ararat,,,
87,2007-04-13,Slow Burn,,,
88,2005-04-22,Madison,,,
89,2010-02-26,The Yellow Handkerchief,,,
90,2002-09-27,Wasabi,,,
91,2006-03-31,Slither,,,
92,1990-11-16,Home Alone,,,
93,1984-12-05,Beverly Hills Cop,,,
94,1986-05-16,Top Gun,,,
95,1982-12-17,Tootsie,,,
96,1987-11-25,3 Men and a Baby,,,
97,2010-11-26,The Kingâs Speech,,,
98,1999-09-15,American Beauty,,,
99,2000-12-08,"Crouching Tiger, Hidden Dragon",,,
100,1988-12-09,Twins,,,
1,1996-12-20,Scream,,,
2,2017-08-11,Annabelle: Creation,,,
3,2013-10-25,Jackass Presents: Bad Grandpa,,,
4,1978-06-28,Heaven Can Wait,,,
5,1985-12-18,The Color Purple,,,
6,2014-11-28,The Imitation Game,,,
7,1988-03-30,Beetlejuice,,,
8,1959-11-18,Ben-Hur,,,
9,2013-01-18,Mama,,,
10,1980-10-10,Private Benjamin,,,
11,1980-03-07,Coal Miner's Daughter,,,
12,1987-03-06,Lethal Weapon,,,
13,2010-03-19,Diary of a Wimpy Kid,,,
14,1983-07-29,National Lampoonâs Vacation,,,
15,2007-08-31,Halloween,,,
16,2006-09-30,The Queen,,,
17,2007-10-12,Why Did I Get Married?,,,
18,2012-02-03,The Woman in Black,,,
19,1994-12-21,Little Women,,,
20,1979-01-01,The Deer Hunter,,,
21,2018-08-10,BlacKkKlansman,,,
22,2006-02-03,When a Stranger Calls,,,
23,2002-02-08,Big Fat Liar,,,
24,1997-08-15,Cop Land,,,
25,1997-12-25,Wag the Dog,,,
26,2013-02-22,Snitch,,,
27,2003-05-02,The Lizzie McGuire Movie,,,
28,2015-12-04,Krampus,,,
29,2012-09-21,End of Watch,,,
30,1998-12-25,The Faculty,,,
31,1993-06-09,What's Love Got to Do With It,,,
32,2001-12-14,Not Another Teen Movie,,,
33,2014-12-03,Wild,,,
34,1962-12-16,Lawrence of Arabia,,,
35,2014-11-07,The Theory of Everything,,,
36,2011-09-16,Drive,,,
37,2000-03-31,The Skulls,,,
38,1966-10-10,Hawaii,,,
39,2018-11-23,The Favourite,,,
40,2003-04-18,Malibu's Most Wanted,,,
41,2009-09-04,All About Steve,,,
42,2000-04-28,Where the Heart Is,,,
43,2009-08-28,Halloween 2,,,
44,2009-03-13,The Last House on the Left,,,
45,2005-02-18,Because of Winn-Dixie,,,
46,2005-02-04,The Wedding Date,,,
47,1987-09-25,The Princess Bride,,,
48,2002-07-12,Halloween: Resurrection,,,
49,2007-12-25,The Great Debaters,,,
50,2014-08-22,When the Game Stands Tall,,,
51,1981-06-12,Clash of the Titans,,,
52,2004-02-20,Confessions of a Teenage Drama Queen,,,
53,1998-04-17,The Object of my Affection,,,
54,2007-05-11,28 Weeks Later,,,
55,1997-04-11,Grosse Pointe Blank,,,
56,2000-04-21,Love and Basketball,,,
57,2017-09-08,Home Again,,,
58,2000-10-27,Book of Shadows: Blair Witch 2,,,
59,1997-10-10,Boogie Nights,,,
60,2010-07-23,Ramona and Beezus,,,
61,2014-08-27,The November Man,,,
62,1996-05-03,The Craft,,,
63,2005-12-28,Match Point,,,
64,1993-11-05,The Remains of the Day,,,
65,1993-01-15,Nowhere to Run,,,
66,2000-09-22,Urban Legends: Final Cut,,,
67,2013-03-29,The Place Beyond the Pines,,,
68,2006-10-20,Flicka,,,
69,2007-03-23,The Hills Have Eyes II,,,
70,2016-04-29,Keanu,,,
71,2010-12-22,Country Strong,,,
72,2002-10-11,Tuck Everlasting,,,
73,2006-10-13,The Marine,,,
74,1998-07-24,Disturbing Behavior,,,
75,1998-03-06,The Big Lebowski,,,
76,2014-07-25,A Most Wanted Man,,,
77,2009-06-26,The Hurt Locker,,,
78,2000-01-28,Eye of the Beholder,,,
79,2012-11-02,The Man with the Iron Fists,,,
80,1984-05-11,Firestarter,,,
81,2019-02-01,Miss Bala,,,
82,2012-11-30,Killing Them Softly,,,
83,2001-04-20,Freddy Got Fingered,,,
84,2011-08-19,One Day,,,
85,2004-06-25,De-Lovely,,,
86,2009-10-02,Whip It,,,
87,2008-01-11,The Pirates Who Don't Do Anything: A VeggieTales Movie,,,
88,2008-01-23,U2 3D,,,
89,2000-09-01,Highlander: Endgame,,,
90,2017-01-20,The Founder,,,
91,2006-08-25,Idlewild,,,
92,2003-04-25,Confidence,,,
93,2002-10-11,Knockaround Guys,,,
94,1999-08-27,The Muse,,,
95,1998-04-03,Barney's Great Adventure,,,
96,1989-03-01,New York Stories,,,
97,1998-11-25,Home Fries,,,
98,2000-03-24,Here on Earth,,,
99,2004-10-08,Raise Your Voice,,,
100,1985-12-18,Brazil,,,
1,1993-04-23,The Dark Half,,,
2,2007-03-02,Black Snake Moan,,,
3,2003-02-21,Dark Blue,,,
4,2007-06-22,A Mighty Heart,,,
5,1983-09-30,Brainstorm,,,
6,2016-09-23,Queen of Katwe,,,
7,2000-03-24,Whatever it Takes,,,
8,2003-03-21,Boat Trip,,,
9,2002-05-22,The Importance of Being Earnest,,,
10,1999-05-21,The Love Letter,,,
11,2006-05-05,Hoot,,,
12,2008-02-08,In Bruges,,,
13,2013-01-04,Promised Land,,,
14,2001-10-08,Mulholland Drive,,,
15,2018-06-08,Hotel Artemis,,,
16,2008-08-20,The Rocker,,,
17,2009-08-21,Post Grad,,,
18,2009-06-19,Whatever Works,,,
19,2000-07-19,The In Crowd,,,
20,2005-12-14,Los tres entierros de Melquiades Estrada,,,
21,1999-09-24,Jakob the Liar,,,
22,2007-09-28,Se jie,,,
23,2005-10-21,"Kiss Kiss, Bang Bang",,,
24,1999-04-30,Idle Hands,,,
25,2015-10-30,Scouts Guide to the Zombie Apocalypse,,,
26,2007-01-26,Blood and Chocolate,,,
27,2010-09-22,You Will Meet a Tall Dark Stranger,,,
28,2015-10-23,Rock the Kasbah,,,
29,2010-09-15,Never Let Me Go,,,
30,2016-09-09,The Disappointments Room,,,
31,2003-12-25,The Company,,,
32,2008-07-18,Transsiberian,,,
33,1999-10-22,Crazy in Alabama,,,
34,1986-01-17,The Clan of the Cave Bear,,,
35,2017-02-03,The Comedian,,,
36,2008-03-14,Funny Games,,,
37,2006-06-02,Banlieue 13,,,
38,1999-11-12,Felicia's Journey,,,
39,2002-01-25,Metropolis,,,
40,2015-10-16,CÃ¬kÃ¨ NiÃ¨ YinniÃ¡ng,,,
41,1995-12-01,Things to Do in Denver when You're Dead,,,
42,2013-04-26,The Reluctant Fundamentalist,,,
43,2004-02-06,The Return,,,
44,2003-07-25,Buffalo Soldiers,,,
45,2003-04-25,Steal (Canadian Release),,,
46,2010-08-27,Centurion,,,
47,2009-10-23,Ong-Bak 2,,,
48,1996-12-31,Silent Trigger,,,
49,2008-08-01,Midnight Meat Train,,,
50,2013-09-06,Winnie Mandela,,,
51,2011-11-04,The Son of No One,,,
52,2002-10-25,All the Queen's Men,,,
53,2007-10-05,The Good Night,,,
54,2013-12-06,Khumba,,,
55,2015-05-05,A Few Best Men,,,
56,2014-10-10,AutÃ³mata,,,
57,2015-12-31,Chiamatemi Francesco - Il papa della gente,,,
58,2008-12-31,Bathory,,,
59,2010-02-05,San suk si gin,,,
60,2005-12-31,Dungeons & Dragons: Wrath of the Dragon God,,,
61,2017-02-17,In Dubious Battle,,,
62,2015-09-01,Broken Horses,,,
63,2001-06-29,Pandaemonium,,,
64,2019-08-14,Blinded by the Light,,,
65,1993-02-12,Groundhog Day,,,
66,2015-07-01,Magic Mike XXL,,,
67,1996-11-01,Romeo+Juliet,,,
68,2011-07-22,Elle s'appelait Sarah,,,
69,2015-06-05,Freedom,,,
70,1992-08-07,Unforgiven,,,
71,2006-01-27,Manderlay,,,
72,1990-03-23,Pretty Woman,,,
73,1987-09-18,Fatal Attraction,,,
74,2008-11-12,Slumdog Millionaire,,,
75,1974-12-17,Towering Inferno,,,
76,1988-05-25,Crocodile Dundee 2,,,
77,1989-12-20,Born on the Fourth of July,,,
78,1993-10-01,Cool Runnings,,,
79,2007-01-12,Stomp the Yard,,,
80,2009-01-16,My Bloody Valentine,,,
81,2012-08-31,The Possession,,,
82,1982-10-22,First Blood,,,
83,1977-07-13,The Spy Who Loved Me,,,
84,1998-09-25,Urban Legend,,,
85,1981-12-09,Taps,,,
86,2012-02-24,Tyler Perry's Good Deeds,,,
87,1991-01-18,White Fang,,,
88,1988-12-21,Dangerous Liaisons,,,
89,1999-10-08,Superstar,,,
90,2012-01-13,The Iron Lady,,,
91,1993-07-23,Poetic Justice,,,
92,2002-10-04,Jonah: A VeggieTales Movie,,,
93,2002-03-08,All About the Benjamins,,,
94,1977-06-17,Exorcist II: The Heretic,,,
95,2010-03-12,Our Family Wedding,,,
96,1995-10-27,Vampire in Brooklyn,,,
97,2006-05-05,An American Haunting,,,
98,2003-08-22,My Boss's Daughter,,,
99,2009-08-07,A Perfect Getaway,,,
100,1996-10-25,Thinner,,,
1,1998-08-21,Dead Man on Campus,,,
2,1999-05-14,Tea with Mussolini,,,
3,1977-06-22,"New York, New York",,,
4,2002-04-26,Jason X,,,
5,1994-05-13,Crooklyn,,,
6,2007-03-16,I Think I Love My Wife,,,
7,2015-02-20,Hot Tub Time Machine 2,,,
8,2006-11-17,Bobby,,,
9,2001-02-02,Head Over Heels,,,
10,2012-10-26,Fun Size,,,
11,1999-04-23,Lost and Found,,,
12,2007-11-30,Le Scaphandre et le Papillon,,,
13,2006-10-06,Little Children,,,
14,2000-04-21,Gossip,,,
15,1999-03-26,A Walk on the Moon,,,
16,2015-10-23,Suffragette,,,
17,2006-10-27,Catch a Fire,,,
18,2014-12-19,Mr. Turner,,,
19,2001-09-07,Soul Survivors,,,
20,2009-05-22,Easy Virtue,,,
21,1995-03-31,Jefferson in Paris,,,
22,2010-08-06,Flipped,,,
23,1978-01-01,Caravans,,,
24,2010-06-25,Les herbes folles,,,
25,2003-01-24,Amen,,,
26,2008-09-26,The Lucky Ones,,,
27,2011-09-30,Margaret,,,
28,2016-11-01,Reign of Assassins,,,
29,2009-10-27,Stan Helsing: A Parody,,,
30,2005-12-09,Brokeback Mountain,,,
31,1995-07-01,Clueless,,,
32,2008-12-31,Ca$h,,,
33,1990-03-30,Teenage Mutant Ninja Turtles,,,
34,1956-10-05,The Ten Commandments,,,
35,2002-11-08,Far From Heaven,,,
36,2012-10-12,Seven Psychopaths,,,
37,2000-11-22,Quills,,,
38,1982-01-29,The Border,,,
39,2005-02-18,Der Untergang,,,
40,2001-03-02,The Caveman's Valentine,,,
41,2011-04-01,The Last Godfather,,,
42,2014-04-04,Under the Skin,,,
43,2004-12-17,Mar adentro,,,
44,2014-09-12,No Good Deed,,,
45,1987-12-23,Good Morning Vietnam,,,
46,2010-12-03,Black Swan,,,
47,2001-01-12,Save the Last Dance,,,
48,2011-02-11,Justin Bieber: Never Say Never,,,
49,2018-07-04,The First Purge,,,
50,2016-03-16,Miracles from Heaven,,,
51,2000-02-11,Snow Day,,,
52,2004-01-23,The Butterfly Effect,,,
53,1974-12-11,The Godfather: Part II,,,
54,2016-06-24,The Shallows,,,
55,1987-07-17,RoboCop,,,
56,1988-08-19,A Nightmare on Elm Street 4: The Dream Master,,,
57,2007-11-21,This Christmas,,,
58,2014-02-14,About Last Night,,,
59,2000-12-15,"Dude, Where's My Car?",,,
60,1988-08-12,Young Guns,,,
61,2014-10-10,St. Vincent,,,
62,2014-07-02,Earth to Echo,,,
63,1999-03-31,10 Things I Hate About You,,,
64,2002-05-10,The New Guy,,,
65,1993-02-05,Loaded Weapon 1,,,
66,1999-03-12,Baby Geniuses,,,
67,1998-04-24,The Big Hit,,,
68,1990-11-09,Child's Play 2,,,
69,1996-07-10,Harriet the Spy,,,
70,2013-03-01,21 and Over,,,
71,2007-11-21,The Mist,,,
72,2015-04-10,Ex Machina,,,
73,1999-10-29,Being John Malkovich,,,
74,2001-09-07,Two Can Play That Game,,,
75,2016-03-11,Eye in the Sky,,,
76,2013-03-22,Admission,,,
77,2012-09-21,The Perks of Being a Wallflower,,,
78,2001-06-29,crazy/beautiful,,,
79,1998-08-28,54,,,
80,2015-10-16,Room,,,
81,2015-10-16,Woodlawn,,,
82,2006-12-20,Letters from Iwo Jima,,,
83,2009-05-29,MÃ¤n som hatar kvinnor,,,
84,2007-02-23,The Astronaut Farmer,,,
85,1998-06-12,Dirty Work,,,
86,2015-07-17,Bajrangi Bhaijaan,,,
87,1998-05-08,Woo,,,
88,2016-09-09,Robinson Crusoe,,,
89,1994-04-13,Serial Mom,,,
90,1999-08-04,Dick,,,
91,1999-11-10,Light It Up,,,
92,2001-08-24,Bubble Boy,,,
93,2002-02-01,Birthday Girl,,,
94,2007-05-04,"Paris, je t'aime",,,
95,2018-12-07,Ben is Back,,,
96,2007-08-24,Resurrecting the Champ,,,
97,2010-03-26,Chloe,,,
98,2001-03-02,The Widow of St. Pierre,,,
99,2015-12-04,Youth,,,
100,1996-04-05,Faithful,,,
1,2010-02-26,Un ProphÃ¨te,,,
2,2010-12-03,"I Love You, Phillip Morris",,,
3,2015-07-24,The Vatican Tapes,,,
4,2006-03-17,Find Me Guilty,,,
5,1993-05-14,Excessive Force,,,
6,2006-10-13,Infamous,,,
7,2011-07-29,Attack the Block,,,
8,2015-08-14,Brothers,,,
9,2000-12-29,The Claim,,,
10,2011-12-23,In The Land of Blood and Honey,,,
11,2010-06-18,The Killer Inside Me,,,
12,2012-03-30,Womb,,,
13,2019-12-31,Rogue City,,,
14,2013-03-15,The Call,,,
15,2016-08-05,Operation Chromite,,,
16,2014-09-12,The Drop,,,
17,2002-07-12,The Crocodile Hunter: Collision Course,,,
18,2010-09-03,Machete,,,
19,2002-12-19,Antwone Fisher,,,
20,1982-02-12,La Guerre du feu,,,
21,2002-11-22,The Emperor's Club,,,
22,1993-09-10,True Romance,,,
23,2009-09-11,Sorority Row,,,
24,1992-09-30,Glengarry Glen Ross,,,
25,2008-11-07,The Boy in the Striped Pyjamas,,,
26,1982-04-02,Cat People,,,
27,1979-05-25,The Prisoner of Zenda,,,
28,2010-10-15,Conviction,,,
29,2007-10-12,Lars and the Real Girl,,,
30,2010-05-21,Solitary Man,,,
31,2000-09-22,Dancer in the Dark,,,
32,2010-12-17,Casino Jack,,,
33,1997-12-31,Oscar and Lucinda,,,
34,1996-11-01,The Funeral,,,
35,2004-09-03,Tae Guik Gi: The Brotherhood of War,,,
36,2010-04-16,The Perfect Game,,,
37,2012-10-05,The Paperboy,,,
38,2013-03-01,Ernest et Celestine,,,
39,2012-05-04,A Little Bit of Heaven,,,
40,1988-11-18,The Land Before Time,,,
41,1975-06-20,Jaws,,,
42,1973-12-26,The Exorcist,,,
43,2014-06-06,The Fault in Our Stars,,,
44,1999-07-09,American Pie,,,
45,2012-04-20,Think Like a Man,,,
46,2014-04-16,Heaven is for Real,,,
47,1986-12-12,The Golden Child,,,
48,1982-06-04,Star Trek II: The Wrath of Khan,,,
49,2002-09-13,Barbershop,,,
50,1983-06-03,WarGames,,,
51,1994-02-04,Ace Ventura: Pet Detective,,,
52,2012-02-24,Act of Valor,,,
53,1985-02-08,Witness,,,
54,2006-08-11,Step Up,,,
55,2012-02-03,Chronicle,,,
56,1996-12-20,Beavis and Butt-Head Do America,,,
57,1970-01-01,Patton,,,
58,2012-03-02,Project X,,,
59,2017-11-10,"Three Billboards Outside Ebbing, Missouri",,,
60,2016-11-25,Lion,,,
61,2018-05-04,Overboard,,,
62,1997-12-25,Jackie Brown,,,
63,1983-11-18,Yentl,,,
64,2008-04-25,Harold & Kumar Escape from Guantanamo Bay,,,
65,2013-11-22,Philomena,,,
66,1981-11-06,Time Bandits,,,
67,2002-02-15,Crossroads,,,
68,2015-07-24,Paper Towns,,,
69,2008-10-10,Quarantine,,,
70,2002-08-21,One Hour Photo,,,
71,2008-02-01,The Eye,,,
72,2004-04-07,Johnson Family Vacation,,,
73,2001-12-21,How High,,,
74,1960-10-07,Spartacus,,,
75,2006-09-01,Crank,,,
76,1992-12-11,The Muppet Christmas Carol,,,
77,2016-08-12,Hell or High Water,,,
78,2002-10-25,Frida,,,
79,2012-07-05,Katy Perry: Part of Me,,,
80,2014-12-12,Top Five,,,
81,1998-09-11,Rounders,,,
82,1967-04-28,Casino Royale,,,
83,1979-06-15,Prophecy,,,
84,2015-01-30,Project Almanac,,,
85,2010-05-14,Just Wright,,,
86,1999-09-10,Stir of Echoes,,,
87,1995-01-13,Tales from the Crypt: Demon Knight,,,
88,1978-01-01,The Boys from Brazil,,,
89,2005-03-11,The Upside of Anger,,,
90,2006-03-03,Aquamarine,,,
91,2013-11-15,Nebraska,,,
92,2004-01-09,My Baby's Daddy,,,
93,2001-10-05,Max Keeble's Big Move,,,
94,2011-12-09,Young Adult,,,
95,2013-11-01,About Time,,,
96,2018-12-14,If Beale Street Could Talk,,,
97,2017-07-14,Wish Upon,,,
98,1997-08-06,Def Jam's How To Be a Player,,,
99,1998-10-30,Living Out Loud,,,
100,2008-10-03,Rachel Getting Married,,,
1,1981-03-20,The Postman Always Rings Twice,,,
2,2003-12-12,Girl with a Pearl Earring,,,
3,1982-02-10,Das Boot,,,
4,2017-04-21,Unforgettable,,,
5,2004-12-03,House of Flying Daggers,,,
6,2002-03-22,Sorority Boys,,,
7,2017-10-13,Marshall,,,
8,2008-12-05,Cadillac Records,,,
9,2012-09-14,Arbitrage,,,
10,1960-10-24,The Alamo,,,
11,2000-05-12,Screwed,,,
12,2006-10-20,Running With Scissors,,,
13,1993-09-03,Fortress,,,
14,2012-06-01,For Greater Glory: The True Story of Cristiada,,,
15,2006-11-17,For Your Consideration,,,
16,1998-11-20,Celebrity,,,
17,2003-06-20,From Justin to Kelly,,,
18,1986-06-06,Invaders from Mars,,,
19,1996-03-22,Girl 6,,,
20,2003-10-22,In the Cut,,,
21,2008-02-22,Charlie Bartlett,,,
22,2009-02-13,Two Lovers,,,
23,2013-11-15,La grande bellezza,,,
24,2002-02-15,Last Orders,,,
25,2007-03-09,Gwoemul,,,
26,1981-11-13,The Pursuit of D.B. Cooper,,,
27,1999-03-19,Ravenous,,,
28,2002-06-14,The Dangerous Lives of Altar Boys,,,
29,2013-03-01,Stoker,,,
30,2008-03-07,Married Life,,,
31,2005-08-05,2046,,,
32,2011-03-11,Kill the Irishman,,,
33,2005-09-30,Duma,,,
34,2012-04-20,Darling Companion,,,
35,2010-06-04,Ondine,,,
36,2001-07-20,Brother,,,
37,2002-10-04,Welcome to Collinwood,,,
38,2008-04-18,Life Before Her Eyes,,,
39,1997-10-31,Critical Care,,,
40,2007-09-28,Trade,,,
41,2006-01-06,Fateless,,,
42,2010-09-03,San qiang pai an jing qi,,,
43,1999-09-17,Breakfast of Champions,,,
44,2001-03-09,Company Man,,,
45,2009-11-07,Nanjing! Nanjing!,,,
46,2015-10-09,Trash,,,
47,2011-08-19,5 Days of War,,,
48,2015-11-11,10 Days in a Madhouse,,,
49,2009-04-07,1612,,,
50,2015-12-31,San cheng ji,,,
51,2011-12-31,Tu Xia Chuan Qi,,,
52,2010-02-10,Triangle,,,
53,2013-10-19,Supesu Batorushippu Yamato,,,
54,2014-10-03,Drive Hard,,,
55,2015-10-30,Dancin' It's On,,,
56,2009-06-05,Home,,,
57,2016-09-23,The Dressmaker,,,
58,1999-12-10,Diamonds,,,
59,1998-03-20,Madadayo,,,
60,2015-11-20,Carol,,,
61,1989-04-21,Pet Sematary,,,
62,2016-01-22,Dirty Grandpa,,,
63,2009-11-27,The Cry of the Owl,,,
64,2009-10-09,St. Trinianâs,,,
65,1977-05-25,Star Wars Ep. IV: A New Hope,,,
66,1984-06-08,Gremlins,,,
67,1965-12-22,Doctor Zhivago,,,
68,2010-12-10,The Fighter,,,
69,2008-10-24,High School Musical 3: Senior Year,,,
70,1991-12-27,Fried Green Tomatoes,,,
71,2006-09-22,Jackass: Number Two,,,
72,1992-03-13,My Cousin Vinny,,,
73,2014-08-22,If I Stay,,,
74,1989-04-07,Major League,,,
75,2003-04-04,Phone Booth,,,
76,2002-01-25,A Walk to Remember,,,
77,1995-12-29,Dead Man Walking,,,
78,1999-03-05,Cruel Intentions,,,
79,2015-11-04,Brooklyn,,,
80,2008-10-17,The Secret Life of Bees,,,
81,2015-04-01,Woman in Gold,,,
82,1981-06-12,History of the World: Part I,,,
83,2017-12-08,"I, Tonya",,,
84,2009-10-23,Saw VI,,,
85,2001-10-12,Corky Romano,,,
86,2019-02-14,Fighting With My Family,,,
87,1992-08-07,Raising Cain,,,
88,1978-04-13,F.I.S.T,,,
89,1975-01-01,Barry Lyndon,,,
90,2013-01-11,Quartet,,,
91,2001-11-21,Out Cold,,,
92,2000-10-13,The Ladies Man,,,
93,2001-03-30,Tomcats,,,
94,2013-12-06,Inside Llewyn Davis,,,
95,2002-04-12,Frailty,,,
96,1993-02-19,Army of Darkness,,,
97,2004-11-12,Kinsey,,,
98,2013-05-10,Peeples,,,
99,1993-12-25,What's Eating Gilbert Grape,,,
100,2016-07-06,Sultan,,,
1,2002-02-01,Slackers,,,
2,2003-09-26,The Gospel of John,,,
3,2004-10-10,Vera Drake,,,
4,2003-01-31,The Guru,,,
5,1995-12-14,Othello,,,
6,1995-05-12,The Perez Family,,,
7,1970-01-01,The Molly Maguires,,,
8,1991-01-01,Return to the Blue Lagoon,,,
9,2007-09-07,Romance and Cigarettes,,,
10,2006-11-10,Copying Beethoven,,,
11,2011-08-26,Brighton Rock,,,
12,2012-11-16,Le prÃ©nom,,,
13,2015-05-08,La famille BÃ©lier,,,
14,2012-05-04,LOL,,,
15,2016-02-05,Misconduct,,,
16,2019-12-31,Eli,,,
17,2008-10-24,Saw V,,,
18,2012-05-25,Les Intouchables,,,
19,2007-04-27,Jindabyne,,,
20,2006-08-11,Kabhi Alvida Naa Kehna,,,
21,1979-05-25,Alien,,,
22,1982-06-04,Poltergeist,,,
23,1999-06-18,An Ideal Husband,,,
24,2004-12-25,Darkness,,,
25,2013-12-06,The Last Days on Mars,,,
26,1982-06-11,ET: The Extra-Terrestrial,,,
27,1968-04-02,2001: A Space Odyssey,,,
28,2007-04-20,In the Land of Women,,,
29,1994-12-31,There Goes My Baby,,,
30,2004-02-20,The Blue Butterfly,,,
31,2001-11-02,Le Fabuleux destin d'AmÃ©lie Poulain,,,
32,2019-01-04,PMC: deo beong-keo,,,
33,1983-02-18,Lovesick,,,
34,2010-04-30,Housefull,,,
35,2007-08-24,September Dawn,,,
36,2018-10-19,Halloween,,,
37,1997-12-05,Good Will Hunting,,,
38,2004-10-22,The Grudge,,,
39,2016-08-26,Donât Breathe,,,
40,1981-06-26,Stripes,,,
41,2006-10-27,Saw III,,,
42,2016-07-01,The Purge: Election Year,,,
43,2018-05-18,Book Club,,,
44,2000-08-25,Bring it On,,,
45,2018-01-05,Insidious: The Last Key,,,
46,1999-01-29,She's All That,,,
47,2007-10-26,Saw IV,,,
48,2006-02-24,Madea's Family Reunion,,,
49,2005-01-07,White Noise,,,
50,1986-10-17,The Color of Money,,,
51,2015-06-05,Insidious Chapter 3,,,
52,1992-10-02,The Mighty Ducks,,,
53,2017-11-03,Lady Bird,,,
54,2009-11-06,Precious (Based on the Novel Push by Sapphire),,,
55,2012-05-04,The Best Exotic Marigold Hotel,,,
56,2018-06-08,Hereditary,,,
57,2018-03-16,"Love, Simon",,,
58,1989-02-17,Bill & Ted's Excellent Adventure,,,
59,1962-10-04,The Longest Day,,,
60,1996-02-16,Happy Gilmore,,,
61,2017-10-27,Jigsaw,,,
62,2001-08-31,Jeepers Creepers,,,
63,1985-06-28,St. Elmoâs Fire,,,
64,1968-12-11,Oliver!,,,
65,2001-02-16,Recess: School's Out,,,
66,1985-07-10,Mad Max Beyond Thunderdome,,,
67,1977-11-03,Peteâs Dragon,,,
68,2016-01-22,The Boy,,,
69,1985-10-04,Commando,,,
70,2017-05-19,"Everything, Everything",,,
71,2010-09-17,Devil,,,
72,2002-11-22,Friday After Next,,,
73,2015-03-06,The Second Best Exotic Marigold Hotel,,,
74,1985-03-22,The Last Dragon,,,
75,2017-04-28,How to Be a Latin Lover,,,
76,1992-03-06,The Lawnmower Man,,,
77,2008-10-03,Nick and Norah's Infinite Playlist,,,
78,2003-12-19,Calendar Girls,,,
79,1999-11-12,Dogma,,,
80,2018-08-10,Slender Man,,,
81,2002-09-20,The Banger Sisters,,,
82,2000-12-08,Snatch,,,
83,1989-05-19,Road House,,,
84,2018-07-27,Teen Titans Go! To The Movies,,,
85,2016-09-09,When the Bough Breaks,,,
86,1983-06-24,Twilight Zone: The Movie,,,
87,1994-11-23,A Low Down Dirty Shame,,,
88,2013-08-30,One Direction: This is Us,,,
89,2002-09-06,Swimfan,,,
90,2006-10-06,Employee of the Month,,,
91,2015-08-21,Sinister 2,,,
92,2016-01-08,The Forest,,,
93,2009-11-06,The Fourth Kind,,,
94,1983-03-25,The Outsiders,,,
95,1998-06-12,Can't Hardly Wait,,,
96,2012-08-17,Sparkle,,,
97,2016-10-14,Kevin Hart: What Now?,,,
98,2013-04-26,Mud,,,
99,2010-11-12,Skyline,,,
100,2017-12-01,The Disaster Artist,,,
1,2016-09-16,Blair Witch,,,
