id,release_date,movie,production_budget,domestic_gross,worldwide_gross
84,2007-11-02,Bee Movie,,,
85,2009-07-24,G-Force,,,
86,2008-11-21,Bolt,,,
87,2012-03-30,Wrath of the Titans,,,
88,2007-11-16,Beowulf,,,
89,2012-05-11,Dark Shadows,,,
90,2013-06-28,White House Down,,,
91,2010-02-12,The Wolfman,,,
92,2017-02-17,The Great Wall,,,
93,2015-10-09,Pan,,,
94,2011-03-11,Mars Needs Moms,,,
95,2020-12-31,Moonfall,,,
96,2006-11-03,Flushed Away,,,
97,2012-06-08,Madagascar 3: Europe's Most Wanted,,,
98,2011-12-16,Mission: ImpossibleâGhost Protocol,,,
99,2014-06-13,How to Train Your Dragon 2,,,
100,1999-06-16,Tarzan,,,
1,2014-03-07,Mr. Peabody & Sherman,,,
2,2012-11-21,Rise of the Guardians,,,
3,2005-04-08,Sahara,,,
4,2016-07-15,Ghostbusters,,,
5,2002-11-22,Die Another Day,,,
6,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,,,
7,2009-05-08,Star Trek,,,
8,1998-07-01,Armageddon,,,
9,2002-07-03,Men in Black 2,,,
10,2011-07-22,Captain America: The First Avenger,,,
11,2016-01-29,Kung Fu Panda 3,,,
12,1998-07-10,Lethal Weapon 4,,,
13,2013-03-27,G.I. Joe: Retaliation,,,
14,2003-12-05,The Last Samurai,,,
15,2005-12-21,Fun With Dick And Jane,,,
16,2014-12-12,Exodus: Gods and Kings,,,
17,2016-07-01,The BFG,,,
18,2016-02-26,Gods of Egypt,,,
19,2002-05-03,Spider-Man,,,
20,2009-03-06,Watchmen,,,
21,2005-07-29,Stealth,,,
22,2008-06-13,The Incredible Hulk,,,
23,2003-06-20,Hulk,,,
24,2001-07-11,Final Fantasy: The Spirits Within,,,
25,2012-11-16,"The Twilight Saga: Breaking Dawn, Part 2",,,
26,2013-03-22,The Croods,,,
27,2015-12-25,The Revenant,,,
28,1999-11-19,The World is Not Enough,,,
29,2011-03-04,Rango,,,
30,2003-11-14,Master and Commander: The Far Side of the World,,,
31,2013-07-17,Turbo,,,
32,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,,,
33,2011-11-18,Happy Feet Two,,,
34,2006-07-28,Miami Vice,,,
35,2018-11-02,The Nutcracker and the Four Realms,,,
36,2005-06-29,War of the Worlds,,,
37,2014-11-26,Penguins of Madagascar,,,
38,2013-11-22,The Hunger Games: Catching Fire,,,
39,2004-06-04,Harry Potter and the Prisoner of Azkaban,,,
40,2007-08-03,The Bourne Ultimatum,,,
41,2018-07-06,Ant-Man and the Wasp,,,
42,2008-06-06,Kung Fu Panda,,,
43,2015-07-17,Ant-Man,,,
44,2015-03-27,Home,,,
45,2018-12-19,Mary Poppins Returns,,,
46,2011-10-28,Puss in Boots,,,
47,2010-11-05,Megamind,,,
48,2003-07-18,Bad Boys II,,,
49,2014-04-11,Rio 2,,,
50,2010-07-23,Salt,,,
51,2014-03-28,Noah,,,
52,2011-12-21,The Adventures of Tintin,,,
53,2013-05-31,After Earth,,,
54,2008-11-26,Australia,,,
55,2013-07-19,R.I.P.D.,,,
56,2019-02-22,How to Train Your Dragon: The Hidden World,,,
57,2011-11-18,"The Twilight Saga: Breaking Dawn, Part 1",,,
58,2000-05-19,Dinosaur,,,
59,2017-03-03,Logan,,,
60,2014-12-19,Night at the Museum: Secret of the Tomb,,,
61,2011-07-15,Harry Potter and the Deathly Hallows: Part II,,,
62,2014-11-21,The Hunger Games: Mockingjay - Part 1,,,
63,2001-11-16,Harry Potter and the Sorcererâs Stone,,,
64,2010-11-19,Harry Potter and the Deathly Hallows: Part I,,,
65,2006-05-19,The Da Vinci Code,,,
66,2003-05-02,X-Men 2,,,
67,2011-04-29,Fast Five,,,
68,2014-08-08,Teenage Mutant Ninja Turtles,,,
69,2011-12-16,Sherlock Holmes: A Game of Shadows,,,
70,2004-05-28,The Day After Tomorrow,,,
71,2017-03-31,The Boss Baby,,,
72,2010-04-01,Clash of the Titans,,,
73,2016-11-04,Trolls,,,
74,1998-05-19,Godzilla,,,
75,2012-06-08,Prometheus,,,
76,2012-08-10,The Bourne Legacy,,,
77,1997-06-20,Batman & Robin,,,
78,2018-07-13,Skyscraper,,,
79,2012-08-03,Total Recall,,,
80,2016-12-21,Assassinâs Creed,,,
81,2017-01-13,Monster Trucks,,,
82,1999-08-27,The 13th Warrior,,,
83,2000-11-17,How the Grinch Stole Christmas,,,
84,2000-05-24,Mission: Impossible 2,,,
85,2000-06-30,The Perfect Storm,,,
86,2016-07-29,Jason Bourne,,,
87,2007-06-15,Fantastic Four: Rise of the Silver Surfer,,,
88,2012-11-21,Life of Pi,,,
89,2007-02-16,Ghost Rider,,,
90,2018-04-13,Rampage,,,
91,2003-06-27,Charlie's Angels: Full Throttle,,,
92,2013-08-09,Elysium,,,
93,2013-04-19,Oblivion,,,
94,2017-03-24,Power Rangers,,,
95,2002-07-19,Stuart Little 2,,,
96,2014-02-12,RoboCop,,,
97,2004-06-11,The Chronicles of Riddick,,,
98,2015-08-07,Fantastic Four,,,
99,2008-05-09,Speed Racer,,,
100,2005-07-22,The Island,,,
1,2010-12-17,How Do You Know?,,,
2,2010-06-23,Knight and Day,,,
3,2018-10-05,Venom,,,
4,1999-05-19,Star Wars Ep. I: The Phantom Menace,,,
